Price,Close,High,Low,Open,Volume
Ticker,XLE,XLE,XLE,XLE,XLE
Date,,,,,
2000-01-07,7.081667423248291,7.1644243188101715,6.983146255737966,6.983146255737966,936000
2000-01-10,7.022550582885742,7.08166344258733,6.967379029484844,7.08166344258733,244200
2000-01-11,7.030435085296631,7.077725007395039,6.951618548465952,7.022553431613564,289600
2000-01-12,6.998904705047607,7.022549653375472,6.951614808391881,7.022549653375472,114600
2000-01-13,7.121073246002197,7.140776895450533,6.991025503603336,7.046197069020725,298400
2000-01-14,7.07772159576416,7.085603245648084,6.983141797157066,7.085603245648084,71400
2000-01-18,7.16442346572876,7.203831735617258,7.03043534810787,7.03043534810787,221000
2000-01-19,7.140777587890625,7.219594117558292,7.132895934923858,7.140777587890625,380600
2000-01-20,7.140777587890625,7.164422546790925,7.046197752289424,7.164422546790925,688600
2000-01-21,7.337821960449219,7.373289894592218,7.259005398038379,7.298413679243799,966600
2000-01-24,7.07772159576416,7.408750890888986,7.069839945880235,7.385105941237213,593000
2000-01-25,7.061959743499756,7.432397363973514,7.014669834503105,7.093486349497522,115600
2000-01-26,6.951616287231445,7.132894262975576,6.951616287231445,7.014669496185926,93800
2000-01-27,6.809747219085693,7.030433471556063,6.719108703593217,6.975261908438471,3377600
2000-01-28,6.73093318939209,6.801868082488728,6.683643260660998,6.793986427700212,66200
2000-01-31,6.888564109802246,6.888564109802246,6.58906132241954,6.60482462701863,203200
2000-02-01,6.872805118560791,6.888568433052903,6.809751860592344,6.888568433052903,228400
2000-02-02,6.916152477264404,6.963442405443593,6.872802895375456,6.8885662047685186,58800
2000-02-03,6.833389759063721,6.904324600853309,6.738809970010935,6.904324600853309,193600
2000-02-04,6.636352062225342,6.809748434397501,6.596943795822579,6.770340167994738,131200
2000-02-07,6.711228847503662,6.738814155385855,6.636352653608059,6.636352653608059,110600
2000-02-08,6.652115821838379,6.8255122058199476,6.652115821838379,6.746695667646508,198800
2000-02-09,6.431429862976074,6.5890629478529394,6.431429862976074,6.5890629478529394,172400
2000-02-10,6.565419673919678,6.667881205445435,6.4866031112075575,6.494484767478769,1230000
2000-02-11,6.486602306365967,6.66788037811131,6.384140787553382,6.628472101644931,415600
2000-02-14,6.589060306549072,6.620586910886628,6.455072238114463,6.526007097873962,1046000
2000-02-15,6.864918231964111,6.864918231964111,6.667876950908884,6.715166858362139,601400
2000-02-16,6.896444797515869,6.935853053501675,6.849154890332904,6.849154890332904,247800
2000-02-17,6.888564109802246,6.931913678507622,6.793984282207707,6.912209066700881,176000
2000-02-18,6.6875834465026855,6.8570385149521735,6.667878831781079,6.8570385149521735,283400
2000-02-22,6.628470420837402,6.715168607079033,6.557535541185159,6.715168607079033,149200
2000-02-23,6.455072402954102,6.573297172238975,6.407782495240152,6.573297172238975,152400
2000-02-24,6.384138107299805,6.415664715237088,6.289558283487955,6.368374803331163,632000
2000-02-25,6.258032321929932,6.439310336293142,6.226505710736331,6.344730502712337,1325600
2000-02-28,6.44719123840332,6.518126105329518,6.21074168198266,6.3210848083123015,912200
2000-02-29,6.596942901611328,6.644232814884527,6.462954814003929,6.462954814003929,160600
2000-03-01,6.762456893920898,6.786101848095447,6.5417706549584445,6.561475264495059,1761200
2000-03-02,6.888564109802246,6.912209066700881,6.778220977608617,6.78216228481627,785400
2000-03-03,6.778223037719727,6.872802894060002,6.707288145464521,6.872802894060002,1223400
2000-03-06,6.738813877105713,6.8097487600226145,6.691523955161111,6.73093222344828,559600
2000-03-07,7.203828811645508,7.203828811645508,6.723048114150567,6.723048114150567,999000
2000-03-08,7.0856032371521,7.274762834139474,6.998905088532886,6.998905088532886,2178800
2000-03-09,7.09348726272583,7.10136891523997,6.904327602386475,6.983144127527873,716800
2000-03-10,6.998904705047607,7.2353541883262436,6.991023055604987,7.0619579005885775,1326200
2000-03-13,6.896444797515869,7.117131031036378,6.864918192727226,6.998906263078963,701200
2000-03-14,6.983141899108887,6.991023549107881,6.809745599131014,6.8570354991249785,720800
2000-03-15,6.951616287231445,6.998906193947305,6.849154822680415,6.908267687133048,839000
2000-03-16,7.251121520996094,7.259003174823263,6.746695676057235,6.904328752600628,1132600
2000-03-17,7.030263900756836,7.243781477045289,7.026310354235888,7.243781477045289,299600
2000-03-20,6.919552803039551,7.061897889273507,6.887920561654227,7.061897889273507,475000
2000-03-21,7.1409759521484375,7.140975952148438,6.5795038673172765,6.5795038673172765,353000
2000-03-22,7.085620403289795,7.172609046633755,7.053988169346537,7.1251606957188685,83800
2000-03-23,7.0777106285095215,7.16469925075936,6.998630062827852,7.038170345668687,83000
2000-03-24,7.093529224395752,7.180517877091798,7.0698050463877395,7.1330695210757735,322800
2000-03-27,7.117255210876465,7.196335824330648,6.9828181680043535,7.069806842803954,438200
2000-03-28,7.085620403289795,7.172609046633755,7.038172052374908,7.1330687542046824,138600
2000-03-29,7.457296848297119,7.481021016425317,7.0539859901177415,7.0539859901177415,465600
2000-03-30,7.457296848297119,7.6470901933227085,7.394032399955256,7.520561296638982,355800
2000-03-31,7.417759895324707,7.587783659177175,7.417759895324707,7.433576014504504,1255800
2000-04-03,7.544288158416748,7.544288158416749,7.43752984639178,7.465207569754099,281400
2000-04-04,7.449390888214111,7.631276228372204,7.322861955930219,7.591735937033489,829200
2000-04-05,7.227964401245117,7.481022235862015,7.227964401245118,7.461252575202084,102600
2000-04-06,7.417759895324707,7.433576014504504,7.259598703526739,7.259598703526739,76000
2000-04-07,7.303094387054443,7.433576903217812,7.291231813581726,7.417760782147136,510800
2000-04-10,7.19633674621582,7.28727994600815,7.168659010630966,7.259601245083652,54000
2000-04-11,7.322864532470703,7.378220959821994,7.196335555667754,7.196335555667754,975800
